animal_type,intake_condition,intake_type,sex_upon_intake,age_upon_intake_(years),intake_number,time_in_shelter_days,sex_upon_outcome,age_upon_outcome_(years),outcome_number,outcome_type
Dog,Normal,Stray,Neutered Male,10,1,0.588194444,Neutered Male,10,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,7,2,1.259722222,Neutered Male,7,2,Return to Owner
Dog,Normal,Public Assist,Neutered Male,6,3,1.113888889,Neutered Male,6,3,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,10,1,4.970138889,Neutered Male,10,1,Missing
Dog,Injured,Public Assist,Neutered Male,16,1,0.119444444,Neutered Male,16,1,Return to Owner
Dog,Aged,Stray,Spayed Female,15,1,0.870833333,Spayed Female,15,1,Return to Owner
Dog,Normal,Stray,Intact Female,15,1,0.178472222,Intact Female,15,1,Return to Owner
Dog,Normal,Stray,Neutered Male,15,1,0.213194444,Neutered Male,15,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,15,1,6.258333333,Neutered Male,15,1,Return to Owner
Dog,Normal,Stray,Spayed Female,18,1,0.054166667,Spayed Female,18,1,Return to Owner
Cat,Normal,Stray,Intact Female,16,1,3.897222222,Intact Female,16,1,Return to Owner
Cat,Normal,Stray,Spayed Female,14,1,14.12013889,Spayed Female,14,1,Transfer
Dog,Normal,Owner Surrender,Neutered Male,16,1,49.74791667,Neutered Male,16,1,Adoption
Dog,Sick,Owner Surrender,Neutered Male,14,1,0.130555556,Neutered Male,14,1,Euthanasia
Dog,Aged,Public Assist,Neutered Male,17,1,9.020138889,Neutered Male,17,1,Adoption
Dog,Normal,Stray,Intact Female,13,1,10.88611111,Intact Female,13,1,Return to Owner
Cat,Aged,Euthanasia Request,Spayed Female,19,1,0.067361111,Spayed Female,19,1,Euthanasia
Dog,Normal,Stray,Neutered Male,13,1,0.111111111,Neutered Male,13,1,Return to Owner
Dog,Sick,Owner Surrender,Neutered Male,15,1,0.066666667,Neutered Male,15,1,Euthanasia
Dog,Sick,Owner Surrender,Neutered Male,15,1,0.068055556,Neutered Male,15,1,Euthanasia
Dog,Injured,Stray,Spayed Female,16,1,0.940277778,Spayed Female,16,1,Euthanasia
Dog,Normal,Stray,Neutered Male,12,1,1.055555556,Neutered Male,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,15,1,23.10486111,Neutered Male,15,1,Adoption
Dog,Normal,Stray,Spayed Female,12,1,0.029166667,Spayed Female,12,1,Return to Owner
Dog,Aged,Euthanasia Request,Intact Male,13,1,0.070138889,Intact Male,13,1,Euthanasia
Dog,Aged,Stray,Neutered Male,13,1,0.177083333,Neutered Male,13,1,Return to Owner
Cat,Normal,Stray,Neutered Male,12,1,0.200694444,Neutered Male,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,12,1,4.199305556,Neutered Male,13,1,Return to Owner
Dog,Normal,Stray,Neutered Male,15,1,7.84375,Neutered Male,15,1,Transfer
Cat,Sick,Stray,Neutered Male,13,1,4.804861111,Neutered Male,13,1,Return to Owner
Dog,Normal,Stray,Neutered Male,15,1,4.552083333,Neutered Male,15,1,Transfer
Dog,Normal,Stray,Neutered Male,14,2,0.896527778,Neutered Male,14,2,Return to Owner
Dog,Normal,Stray,Spayed Female,15,1,89.85555556,Spayed Female,15,1,Adoption
Dog,Aged,Euthanasia Request,Spayed Female,14,1,0.05625,Spayed Female,14,1,Euthanasia
Dog,Normal,Stray,Neutered Male,12,1,0.038888889,Neutered Male,12,1,Return to Owner
Cat,Normal,Stray,Neutered Male,17,1,2.042361111,Neutered Male,17,1,Return to Owner
Dog,Normal,Stray,Spayed Female,18,1,0.702083333,Spayed Female,18,1,Return to Owner
Dog,Normal,Stray,Spayed Female,12,1,0.068055556,Spayed Female,12,1,Return to Owner
Dog,Normal,Stray,Spayed Female,17,1,4.018055556,Spayed Female,17,1,Euthanasia
Dog,Injured,Stray,Intact Male,16,1,0.120138889,Intact Male,16,1,Return to Owner
Cat,Sick,Euthanasia Request,Spayed Female,14,1,0.088194444,Spayed Female,14,1,Euthanasia
Cat,Normal,Stray,Neutered Male,14,1,3.814583333,Neutered Male,14,1,Rto-Adopt
Dog,Normal,Stray,Neutered Male,13,1,0.884027778,Neutered Male,13,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,14,1,0.846527778,Neutered Male,14,1,Return to Owner
Cat,Normal,Euthanasia Request,Neutered Male,20,1,0.090972222,Neutered Male,20,1,Euthanasia
Dog,Normal,Public Assist,Neutered Male,12,1,6.727083333,Neutered Male,12,1,Return to Owner
